,statsbomb_xg,goal,time,player,team,shot_distance,inside_18,shot_angle,bodypart,technique,first_touch,assist,state_of_play
180,0.0054252860000000005,False,25,Marcelo Ribeiro dos Santos,East Bengal,36.69577632371333,False,124.34,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
181,0.034402214,False,29,Songpu Singsit,East Bengal,33.784315887701496,False,99.71,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
182,0.106849946,False,33,Sunil Chhetri,Bengaluru,17.309246084101982,True,115.68,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
183,0.019087527,False,34,Leon Augustine Asokan,Bengaluru,22.489997776789572,True,136.08,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
184,0.44641575,False,38,Sunil Chhetri,Bengaluru,8.401190391843286,True,98.9,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
185,0.028787499999999997,False,45,Songpu Singsit,East Bengal,31.123785116852353,False,68.71,Right Foot,Ground,False,Unassisted,Set Piece - Direct Free Kick
186,0.01768654,False,45,Songpu Singsit,East Bengal,27.286077035733808,False,58.64,Left Foot,Volley,True,Unassisted,Set Piece - Free Kick
187,0.032118164000000005,False,6,Brandon Fernandes,Goa,28.635642126552707,False,102.09,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
188,0.14968324,True,9,Jorge Rolando Pereyra Díaz,Kerala Blasters,6.879680225126745,True,122.54,Left Foot,Volley,True,Unassisted,Set Piece - Free Kick
189,0.025154753000000002,False,14,Ayush Adhikari,Kerala Blasters,24.816325271885034,False,92.08,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
190,0.03178772,False,19,Chencho Gyeltshen,Kerala Blasters,11.013627921806695,True,20.74,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
191,0.014335770000000001,False,20,Moirangthem Givson Singh,Kerala Blasters,33.09274845037807,False,102.57,Left Foot,Volley,True,Unassisted,Set Piece - Free Kick
192,0.7835000000000001,True,24,Jorge Rolando Pereyra Díaz,Kerala Blasters,12.0,True,90.0,Right Foot,Ground,False,Unassisted,Set Piece - Penalty
193,0.039724816,False,26,Brandon Fernandes,Goa,18.835073665903195,True,48.01,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
194,0.030065268000000003,False,27,Anisa Anwar Ali,Goa,11.197321108193695,True,162.86,Head,Ground,False,Unassisted,Set Piece - Free Kick
